,Protocol Number,Protocol Name
0,0,HOPOPT
1,1,ICMP
2,2,IGMP
3,3,GGP
4,4,IPv4
5,5,ST
6,6,TCP
7,7,CBT
8,8,EGP
9,9,IGP
10,10,BBN-RCC-MON
11,11,NVP-II
12,12,PUP
13,13,ARGUS (deprecated)
14,14,EMCON
15,15,XNET
16,16,CHAOS
17,17,UDP
18,18,MUX
19,19,DCN-MEAS
20,20,HMP
21,21,PRM
22,22,XNS-IDP
23,23,TRUNK-1
24,24,TRUNK-2
25,25,LEAF-1
26,26,LEAF-2
27,27,RDP
28,28,IRTP
29,29,ISO-TP4
30,30,NETBLT
31,31,MFE-NSP
32,32,MERIT-INP
33,33,DCCP
34,34,3PC
35,35,IDPR
36,36,XTP
37,37,DDP
38,38,IDPR-CMTP
39,39,TP++
40,40,IL
41,41,IPv6
42,42,SDRP
43,43,IPv6-Route
44,44,IPv6-Frag
45,45,IDRP
46,46,RSVP
47,47,GRE
48,48,DSR
49,49,BNA
50,50,ESP
51,51,AH
52,52,I-NLSP
53,53,SWIPE (deprecated)
54,54,NARP
55,55,Min-IPv4
56,56,TLSP
57,57,SKIP
58,58,IPv6-ICMP
59,59,IPv6-NoNxt
60,60,IPv6-Opts
61,61,
62,62,CFTP
63,63,
64,64,SAT-EXPAK
65,65,KRYPTOLAN
66,66,RVD
67,67,IPPC
68,68,
69,69,SAT-MON
70,70,VISA
71,71,IPCV
72,72,CPNX
73,73,CPHB
74,74,WSN
75,75,PVP
76,76,BR-SAT-MON
77,77,SUN-ND
78,78,WB-MON
79,79,WB-EXPAK
80,80,ISO-IP
81,81,VMTP
82,82,SECURE-VMTP
83,83,VINES
84,84,IPTM
85,85,NSFNET-IGP
86,86,DGP
87,87,TCF
88,88,EIGRP
89,89,OSPFIGP
90,90,Sprite-RPC
91,91,LARP
92,92,MTP
93,93,AX.25
94,94,IPIP
95,95,MICP (deprecated)
96,96,SCC-SP
97,97,ETHERIP
98,98,ENCAP
99,99,
100,100,GMTP
101,101,IFMP
102,102,PNNI
103,103,PIM
104,104,ARIS
105,105,SCPS
106,106,QNX
107,107,A/N
108,108,IPComp
109,109,SNP
110,110,Compaq-Peer
111,111,IPX-in-IP
112,112,VRRP
113,113,PGM
114,114,
115,115,L2TP
116,116,DDX
117,117,IATP
118,118,STP
119,119,SRP
120,120,UTI
121,121,SMP
122,122,SM (deprecated)
123,123,PTP
124,124,ISIS over IPv4
125,125,FIRE
126,126,CRTP
127,127,CRUDP
128,128,SSCOPMCE
129,129,IPLT
130,130,SPS
131,131,PIPE
132,132,SCTP
133,133,FC
134,134,RSVP-E2E-IGNORE
135,135,Mobility Header
136,136,UDPLite
137,137,MPLS-in-IP
138,138,manet
139,139,HIP
140,140,Shim6
141,141,WESP
142,142,ROHC
143,143,Ethernet
144,144,AGGFRAG
145,145,NSH
